uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
a208fa9260371d726a41b10b41ff83bc,"Los Rolling Stones amenazaron el domingo al presidente de Estados Unidos, Donald Trump, con iniciar acciones legales por el uso de sus canciones en los actos de campaña del mandatario pese a las notificaciones legales exigiendo que deje de hacerlo.",Los Rolling Stones amenazan con demandar a Donald Trump,http://www.eluniversal.com.mx/espectaculos/musica/los-rolling-stones-amenazan-con-demandar-donald-trump,eluniversal,www.eluniversal.com.mx,6,22
602fe4651de5d33fa8b8a896179d2805,"Como parte de las medidas de apoyo a las familias ante la pandemia por coronavirus Covid-19, la Coordinación Nacional de Becas para el Bienestar Benito Juárez entregará 400 mil becas a alumnos de nivel básico, es decir, preescolar, primaria y secundaria.",Cómo consigo una de Beca Benito Juárez de primaria y secundaria,http://www.unionpuebla.mx/articulo/2020/05/26/educacion/como-consigo-una-de-beca-benito-juarez-de-primaria-y-secundaria,eluniversal,www.unionpuebla.mx,7,22
785bd930682054e238b68a7bd8dfffbe, La actriz Emilia Clarke fue captada por los paparazzis en un parque de Londres al salir a pasear a su perro. ,emilia clarke conquista londres con leggings negros,https://www.viveusa.mx/showbiz/emilia-clarke-conquista-londres-con-leggings-negros,eluniversal,www.viveusa.mx,6,10
8575c3932ba6cb712425f5b20c6ee6bc, Los Centros para el Control y la Prevención de Enfermedades (CDC) agregaron tres signos a la lista de posibles síntomas de Covid-19 que publica en su sitio web. ,los cdc agregan tres posibles sintomas de covid 19 su lista,https://www.viveusa.mx/bienestar/los-cdc-agregan-tres-posibles-sintomas-de-covid-19-su-lista,eluniversal,www.viveusa.mx,7,14
e719ff2dcc196a496b8dd11b3c2062e4," Durante la llamada “nueva normalidad” las ventas en los restaurantes y cafeterías del Centro Histórico aún se mantienen bajas, informó Alfonso González Hurtado, presidente de la Asociación de Comerciantes Establecidos del Centro Histórico.",Continúan bajas las ventas en el Centro de Querétaro,https://www.eluniversalqueretaro.mx/portada/continuan-bajas-las-ventas-en-el-centro,eluniversal,www.eluniversalqueretaro.mx,5,21
8966ead10350f7a5357bc92c2a89ff6e," La válvula potosina desarrollada por investigadores en San Luis Potosí, devuelve la esperanza a pacientes delicados de Covid-19, pues tiene la función de regular el paso de oxígeno de un respirador clínico a una máscara, y además, previene el contagio de la enfermedad, y así hacer frente a la pandemia global por el coronavirus. ","Con tecnología 3D, potosinos crean válvula para enfrentar el Covid-19",https://sanluis.eluniversal.com.mx/sociedad/26-05-2020/con-tecnologia-3d-potosinos-crean-valvula-para-enfrentar-el-covid-19,eluniversal,sanluis.eluniversal.com.mx,5,29
ad5b9fc957493d8dc9bce1cecd12c378, Kylie Jenner fue captada por los paparazzis en calles de Los Ángeles destilando glamour y sensualidad con ajustado atuendo plateado con negro. ,kylie jenner remarca su figura con pantalones de cuero y corse,https://www.viveusa.mx/showbiz/kylie-jenner-remarca-su-figura-con-pantalones-de-cuero-y-corse,eluniversal,www.viveusa.mx,7,13
27ca54621267c917d8dc36f02ae1a5a8," La Administración de Alimentos y Medicamentos de Estados Unidos, (FDA por sus siglas en inglés) emitió una alerta por desinfectantes potencialmente tóxicos, elaborados y distribuidos por Esk Biochem SA de CV. ",alertan por desinfectante de manos potencialmente toxico,https://www.viveusa.mx/bienestar/alertan-por-desinfectante-de-manos-potencialmente-toxico,eluniversal,www.viveusa.mx,5,18
fe6bdff80037b8575d70d16c8077c1cf, Estado de México,Así viven mujeres presas la pandemia en el penal de Santiaguito,http://www.eluniversal.com.mx/nacion/asi-viven-mujeres-presas-la-pandemia-en-el-penal-de-santiaguito,eluniversal,www.eluniversal.com.mx,7,1
a4c8b2d007355112e7d1905b416bed97,"El mexicano Hirving Lozano volvió a sumar minutos con el Napoli en su victoria 3-1 ante el Spal de este domingo, en donde dejó buenas sensaciones para su técnico Gennaro Gattuso.",Gattuso elogia al 'Chucky': La velocidad de Hirving Lozano es una locura,http://www.eluniversal.com.mx/universal-deportes/futbol/gattuso-elogia-al-chucky-la-velocidad-de-lozano-es-una-locura,eluniversal,www.eluniversal.com.mx,6,16
8ef619f3bd6f1ca4b008ded83e92b838," Hay veces que la expresión más amorosa y elocuente es el silencio, pero le sigue la música. La música ejerce un gran poder. Su misterio y magia nos transforma; abre puertas interiores, se apodera del alma, tiene el prodigio de llevarnos de la mano hacia la luz y hacia el amor infinito, al menos así es para quienes hemos tenido la suerte de experimentarlo.",¿Qué música transmites?,https://www.eluniversal.com.mx/opinion/gaby-vargas/que-musica-transmites,eluniversal,www.eluniversal.com.mx,2,31
424915f1e4fcf1b5a8e59a0aaa3b22c4," Le platicamos que ayer los 16 alcaldes de la Ciudad de México, 12 morenistas como Néstor Núñez, de Cuauhtémoc; un priista, un panista, uno de Movimiento Ciudadano y otro que llegó por el PRD, Manuel Negrete, cerraron filas con la jefa de Gobierno, Claudia Sheinbaum, y condenaron el atentado que sufrió el secretario de Seguridad Ciudadana, Omar García Harfuch, quien sobrevivió, y afirmaron que trabajarán de forma coordinada con el gobierno federal y capitalino para bloquear al crimen y apostar a la prevención del delito. Lo interesante será ver el alcance que tendrán los buenos deseos de los ediles porque, en materia de seguridad pública, tienen muy pocas facultades y son el primer contacto con los vecinos y, a la vez, son los que tienen una mejor radiografía de lo que ocurre en sus territorios.",El alcance de los ediles en materia de seguridad pública,http://www.eluniversal.com.mx/metropoli/el-alcance-de-los-ediles-en-materia-de-seguridad-publica,eluniversal,www.eluniversal.com.mx,5,64
7d0a130073d5d6a5310451c0cd47885e,Texto: Carlos Villasana y Ruth Gómez,Los primeros departamentos de la capital,https://www.eluniversal.com.mx/opinion/mochilazo-en-el-tiempo/los-primeros-departamentos-de-la-capital,eluniversal,www.eluniversal.com.mx,3,5
4f2ab1f9d925581ce75ea97e81f39481," Jalisco tiene 6 mil 190 casos confirmados y 620 muertos por coronavirus, de acuerdo con el reporte del 27 de junio de la Secretaría de Salud del gobierno federal.",Casos confirmados de Covid-19 en Jalisco al 27 de junio,http://www.eluniversal.com.mx/estados/coronavirus-jalisco-casos-confirmados-de-covid-19-al-27-de-junio,eluniversal,www.eluniversal.com.mx,4,13
08ced40736049e6c919c437886d2d04c," Madrid, España.-",Crisis postcovid. Transportistas buscan ayuda en España,https://www.eluniversalqueretaro.mx/portada/transportistasbuscan-ayuda-en-espana,eluniversal,www.eluniversalqueretaro.mx,6,1
752e746f2f8a41e76e0040f94c298bfd,"Isabel, la hondureña mejor conocida como “Lady Zote” murió a los 47 años el pasado 26 de junio a causa de Covid-19 que se complicó por comorbilidad a causa de diabetes que padecía la mujer.",muere lady zote por covid 19 y diabetes se hizo viral por rechazar jabon,https://www.elgrafico.mx/viral/muere-lady-zote-por-covid-19-y-diabetes-se-hizo-viral-por-rechazar-jabon,eluniversal,www.elgrafico.mx,9,17
6404861bc585cef7a592c68e123fa8b0,"En el gremio audiovisual ya hay algo de desesperación por volver al trabajo, para lo cual se requiere presentar resultados de una prueba Covid. Muchos han valorado hacerlo a través de las llamadas ""pruebas rápidas"", el problema es que se ha reiterado oficialmente que dichas pruebas sólo tienen un 50 por ciento máximo de seguridad en su resultado. Eso, nos cuentan, pone alerta al gremio, pues saben que habrá vivales que quieran aprovecharse de la desinformación para tener su agosto y ofrecer esas pruebas rápidas como si fueran 100% confiables. ",Gremio audiovisual alerta sobre pruebas rápidas ,http://www.eluniversal.com.mx/espectaculos/farandula/gremio-audiovisual-alerta-sobre-pruebas-rapidas,eluniversal,www.eluniversal.com.mx,5,43
