body,title
"El coordinador de los diputados federales del PAN, Juan Carlos Romero Hicks, informó del fallecimiento de su hijo, Juan Carlos Romero Siekman, pérdida por la que él y su familia han recibido las condolencias de la clase política.",Muere hijo del líder de los diputados del PAN; clase política lamenta el deceso
"A través de su cuenta de Twitter, la Benemérita Universidad Autónoma de Puebla (BUAP), informó que como consecuencia de la emergencia sanitaria por Covid-19, el Proceso de Admisión 2020 deberá posponerse, atendiendo las recomendaciones de las autoridades federales.",Admisión BUAP 2020: Examen de admisión se pospone
La tiranía de Hollywood no perdona ni siquiera a las actrices más cotizadas como Scarlett Johansson.,"Scarlett Johansson denuncia ""presión"" de Hollywood para estar delgados"
En la última semana los precios de las gasolinas rebasaron los niveles en los que se encontraban antes de que iniciara la pandemia de coronavirus (Covid-19).,Precio de gasolinas supera cifras previas a Covid
"La empresa Interjet informó que fortalece su proceso de capitalización y su plan de negocios, lo que le permitirá convertirse en la aerolínea más importante de México, con el objetivo de enfrentar la emergencia sanitaria de Covid-19.",Interjet fortalece plan de negocios; descarta ajuste de personal
"Madrid, la región española más afectada por el coronavirus, no tuvo ningún muerto por primer día desde que estalló la epidemia, informaron las autoridades regionales este domingo, mientras prosigue el pequeño goteo de nuevos focos desiguales de contagio en varias partes del país, aunque controlados.",Primer día sin muertos por coronavirus en Madrid
Christian Nodal es una de las estrellas del regional mexicano y ahora se estrena como coach de La Voz México 2020.,"Christian Nodal, edad y secretos del coach de La Voz México 2020"
"
Estado de México",Así viven mujeres presas la pandemia en el penal de Santiaguito
"María Eva “N”, mamá de José Antonio Yépez Ortíz ""El Marro"", líder del Cártel de Santa Rosa de Lima, fue puesta en libertad por falta de pruebas.",Madre de “El Marro” queda en libertad por falta de pruebas
"
Son muchos los que dicen que después de esta pandemia todo va a cambiar; otros contestan que no habrá más cambios que los de enfrentar mejor la próxima plaga. Albert Camus hablaba de una “utopía modesta”. Cuando recibió el premio Nobel dijo: “Cada generación, sin duda, se cree llamada a rehacer el mundo. Sin embargo, la mía sabe que no va a rehacerlo. Puede que su tarea sea mayor aún. Consiste en impedir que el mundo se deshaga”. Muchos años después, el gran historiador Tony Judt, en Pensar el siglo XX, pensaba a nuestro siglo XXI: “Como intelectuales, corremos el riesgo de encontrarnos en una situación tal que nuestra tarea principal sea, no imaginar un mundo mejor, sino reflexionar en los medios de evitar peores mundos”.",Modesta utopía
"
Jalisco tiene 6 mil 190 casos confirmados y 620 muertos por coronavirus, de acuerdo con el reporte del 27 de junio de la Secretaría de Salud del gobierno federal.",Casos confirmados de Covid-19 en Jalisco al 27 de junio
"
Una democracia saludable requiere de vigorosos debates de los asuntos públicos en todos los medios posibles, desde las conversaciones familiares y juntas vecinales hasta los medios de comunicación y el parlamento. El grado de confrontación y polarización de la conversación pública varía con la intensidad de las preferencias y la disposición al compromiso de los contendientes. La democracia es para eso, para resolver los conflictos sin violencia. La herencia funesta de las revoluciones y las guerras ha contribuido a que la democracia sea un valor universal, un sistema preferible y preferido sobre aquellas porque es el único que permite las transformaciones pacíficas.",No polarizarás en vano
"El estado estadounidense de Nueva York informó este domingo de que ha registrado récords mínimos de fallecidos y hospitalizaciones por la Covid-19 desde que comenzó la pandemia en marzo, mientras investiga focos locales en una graduación escolar y dos fábricas.",Nueva York registra récord mínimo de muertos y contagios por Covid-19
"Después de que se confirmaran los ocho casos de Covid-19 —y siete indeterminados— en el Cruz Azul, la recomendación de las autoridades gubernamentales es que La Máquina se baje del torneo amistoso de pretemporada.",Lo mejor es que Cruz Azul no juegue: Autoridades de Salud
"No hay días aburridos para los fotoperiodistas de EL UNIVERSAL. Ya sea de madrugada, en sus días de descanso o en los de “agenda floja”, los fotógrafos de esta casa editorial se la pasan cazando con pasión las imágenes que ya han visualizado incluso antes de encontrarlas.","Sismo, mariachis y una noche con paramédicos, en las mejores fotos de la semana"
Texto: Patricia Plata Cruz y Yessica Torres,Así eran las antiguas muñecas mexicanas 
"En el gremio audiovisual ya hay algo de desesperación por volver al trabajo, para lo cual se requiere presentar resultados de una prueba Covid. Muchos han valorado hacerlo a través de las llamadas ""pruebas rápidas"", el problema es que se ha reiterado oficialmente que dichas pruebas sólo tienen un 50 por ciento máximo de seguridad en su resultado. Eso, nos cuentan, pone alerta al gremio, pues saben que habrá vivales que quieran aprovecharse de la desinformación para tener su agosto y ofrecer esas pruebas rápidas como si fueran 100% confiables. ",Gremio audiovisual alerta sobre pruebas rápidas 
"
Juchitán de Zaragoza.— Tres días después de que se reportó la desaparición del norteamericano Antony Nicodym en el mar de Puerto Escondido, la mañana de este martes fue localizado frente al faro de este puerto. ",Localizan cuerpo de estadounidense desaparecido frente al faro de Puerto Escondido
"
Luego de que el sector comercial atravesara por una caída en ventas por permanecer dos meses cerrado, ahora debe hacer frente a cuantiosas inversiones para lograr ser parte de la reactivación económica, acatando medidas sanitarias.",Locales del Centro de SLP gastan hasta 5 mil pesos en materiales contra Covid-19: Consejo
"Belinda es una de las coaches de La Voz México 2020 que por fin dio inicio en junio, tras el paro de grabaciones por el coronavirus.","Belinda, edad, estatura y otros datos de la coach de La Voz"
"
Es claro que nada ni nadie puede cambiar lo que ya ocurrió, pero sí se pueden modificar las maneras y sentidos en que en el presente se interpreta y reconstruye lo ocurrido, lo que se ha recibido del pasado. Hoy somos testigos de una fase muy llamativa e interesante de este fenómeno en Estados Unidos, una lucha política por reinterpretar aspectos de lo ocurrido hace más de siglo y medio —la guerra de secesión (1861-1865)— e incluso antes. Algo similar ha ocurrido en otros países con traumas colectivos.",La batalla por el pasado
"
La actriz Eiza González se disculpó tras ser acusada de racismo por la difusión de una imagen que muestra su rostro pintado con maquillaje oscuro para su actuación en una telenovela mexicana, en 2007. ",
"El presidente de Rusia, Vladimir Putin, se somete a pruebas de coronavirus una vez cada tres o cuatro días, según confesó el propio mandatario en una entrevista con la televisión pública rusa difundida este domingo.","Putin se somete a pruebas de coronavirus una vez cada ""3 o 4 días"""
"
La visa de turista B1/B2 es un requisito para los mexicanos que desean visitar Estados Unidos. Con la categoría B1 se viaja por reuniones de negocios, conferencias de trabajo o convenciones. ",
