article_author,article_date,article_location,body,title,url
,08/07/2020,,"No existe un momento ideal para visitar Washington DC cuando tu anfitrión se llama Donald Trump y te convida a la Casa Blanca. El presidente de los Estados Unidos de América no es precisamente un hombre mesurado ni predecible, sus pronunciamientos en casi todo lo que a México respecta suelen ser ofensivos o incendiarios, y su situación actual frente a los grandes desafíos que enfrenta simultáneamente (la pandemia, la crisis económica, las protestas masivas contra el racismo institucional y sus prospectos electorales) es de extrema fragilidad.",La visita inevitable,https://www.eluniversal.com.mx/opinion/gabriel-guerra/la-visita-inevitable
Manuel Espino,08/07/2020,,"
De los únicos restos que se tiene certeza en dónde se encontraron, son los de Christian Alfonso Rodríguez Telumbre, porque de los de Alexander Mora Venancio no se sabe el lugar exacto y en el caso de Jhosivani Guerrero de la Cruz no hay evidencia genética que los hallados pertenezcan a él, asegura el fiscal especial para el caso Iguala, Omar Gómez Trejo.","Tras hallazgo de restos de normalista ""surge nueva línea de investigación""",http://www.eluniversal.com.mx/nacion/tras-hallazgo-de-restos-de-normalista-surge-nueva-linea-de-investigacion
Agencias,08/07/2020,,"Estados Unidos, el país del mundo más afectado por la pandemia de la Covid-19, superó este miércoles los 3 millones de casos confirmados de coronavirus, en medio de un repunte en varios estados como California, Arizona, Texas y Florida.",EU supera los 3 millones de contagios de Covid-19,http://www.eluniversal.com.mx/mundo/eu-supera-los-3-millones-de-contagios-de-covid-19
,08/07/2020,,"Washington DC.- Como segundo acto en su gira de trabajo por Estados Unidos, el presidente Andrés Manuel López Obrador depositó una ofrenda florar en el monumento de Benito Juárez García, localizado en la capital estadounidense.",AMLO deposita ofrenda floral en monumento de Benito Juárez en Washington,https://www.eluniversal.com.mx/nacion/amlo-ofrenda-floral-en-monumento-de-benito-juarez-en-washington
,,,"El 8 de julio de 1985, Madonna apareció desnuda en las páginas de las revistas para adultos Playboy y Penthouse. En ese momento la “reina del pop” gozaba de uno de los mejores momentos en su carrera tras publicar Like a Virgin (1984), pero aquellas publicaciones significaron todo un escándalo para ella. Aquí en De10.mx te contamos los detalles…",,https://de10.com.mx/top-10/la-historia-de-las-polemicas-fotos-de-madonna-con-playboy-y-penthouse
,08/07/2020,,"Hoy hace precisamente dos semanas explicaba vía mi cuenta de Twitter por qué considero que la decisión del presidente Andrés Manuel López Obrador de reactivar su viaje a Washington -en lo que fue una especie de reacción pavloviana a la declaración de Donald Trump desde Arizona en el sentido de que su homólogo mexicano iría pronto a visitarlo, y habiendo correctamente decidido pocos días antes que lo más conveniente era no viajar durante esta coyuntura epidemiológica y política en Estados Unidos- es un error de cálculo diplomático, político-electoral y estratégico para los intereses de mediano y largo plazo mexicanos en ese país.",Cuatro precisiones y un viaje,https://www.eluniversal.com.mx/opinion/arturo-sarukhan/cuatro-precisiones-y-un-viaje
Alberto Morales y Pedro Villa y Caña,08/07/2020,,"
Washington.— El presidente Andrés Manuel López Obrador sostendrá este miércoles su primer encuentro presencial con su homólogo de Estados Unidos, Donald Trump, en medio de la contienda electoral en la que el republicano busca mantenerse en la Casa Blanca.","AMLO y Trump, cara a cara hoy en EU",http://www.eluniversal.com.mx/nacion/amlo-y-trump-cara-cara-hoy-en-eu
Marittza Navarro,08/07/2020,,"
Tres policías estatales y dos municipales han resultado positivos a Covid-19 en Querétaro, dos de ellos fallecieron en las últimas horas; los casos fueron reportados por las respectivas corporaciones.",Reportan dos policías fallecidos y tres más positivos a Coronavirus,https://www.eluniversalqueretaro.mx/portada/fallecen-dos-policias-por-virus
,,,"Aunque aún falta mucho para conocer el verdadero impacto del coronavirus en el cuerpo, estudios recientes demuestran que esta enfermedad puede tener secuelas en el hígado, riñones e intestino.",,https://de10.com.mx/vivir-bien/los-efectos-secundarios-del-coronavirus-en-el-cuerpo
Inder Bugarin / Enviado,08/07/2020,,"
Roma.- Farabi Temenov, de origen kazajo, lo admite sin ningún empacho: “Estoy muy nervioso”. Al estudiante de la maestría en comercio internacional le quedan menos de dos horas para tomar un vuelo en el Aeropuerto Internacional Leonardo da Vinci, ubicado a 33 kilómetros del centro histórico de Roma.",Con kit anti-Covid: así se vuela en Europa,http://www.eluniversal.com.mx/mundo/con-kit-anti-covid-asi-se-vuela-en-europa
,,,"César Arturo fue asesinado frente a su casa, y ante su esposa, por dos hombres que le robaron una motoneta. Aunque no se opuso a entregar el vehículo, sí se resistió a dar su celular y el de su pareja, además de una mochila.",,https://www.elgrafico.mx/la-roja/asaltan-y-acribillan-policia-frente-su-casa-y-ante-su-esposa-en-iztapalapa
Horacio Jiménez,05/07/2020,,"El colectivo Pacto por la Primera Infancia, que aglutina a 173 organizaciones de la sociedad civil, como la Unicef y Save the Children, entre otras, lanzó una alerta debido a que 6.5 millones de niños menores de seis años están en riesgo y podrían verse afectados en su salud, desarrollo físico, intelectual y emocional, por el recorte presupuestal que podrían sufrir aproximadamente 15 programas o dependencias del gobierno federal. ",Recorte pega a comida y vacuna para niños,https://www.eluniversal.com.mx/nacion/recorte-pega-comida-y-vacuna-para-ninos
Alma Gómez,08/07/2020,,"
Querétaro, Querétaro.-","Con largas filas y restricciones, abren el mercado de Las Flores ",https://www.eluniversalqueretaro.mx/portada/retonan-abren-el-mercado-de-las-flores
Claudia Ramírez,08/07/2020,,"Además de los tonos pastel y el color blanco, en verano llega otra gran tendencia dentro del mundo de la moda. Se trata de los lunares, que llegan para convertirse en los protagonistas de la temporada.",Los lunares se convierten en los protagonistas del verano,http://www.eluniversal.com.mx/de-ultima/verano-2020-sumate-la-tendencia-de-los-lunares-en-ropa-y-accesorios
,,,"
La actriz Brooke Shields deslumbró con una sesión de fotografías en bikini para celebrar el 4 de julio y destacar su patriotismo estadounidense. ",,https://www.viveusa.mx/showbiz/brooke-shields-presume-cuerpazo-en-bikini-los-55-anos
,,,"David Malagón Palacios fue ejecutado la tarde del lunes cuando manejaba su taxi por calles de la alcaldía Gustavo A. Madero, en la Ciudad de México. Él es el tercero de los hermanos Malagón Palacios que es asesinado a tiros.",,https://www.elgrafico.mx/la-roja/asesinan-al-hermano-numero-tres-en-cdmx-esta-es-la-historia-de-la-dinastia-sangrienta
,,,"
Walt Disney World Resort en Florida publicó su nuevo sistema de reservaciones para los restaurantes, justo antes de la reapertura de los parques temáticos. ",,https://www.viveusa.mx/destinos/el-sistema-de-reservaciones-para-los-restaurantes-de-disney-world
Perla Miranda,07/07/2020,,"La Secretaría de Salud presentó esta noche al Escuadrón de la Salud, un grupo de cuatro personajes que son aliadas de Susana Distancia, una creación de la dependencia para promover el distanciamiento social.",Buscan combatir el Covid en México ahora con nuevas heroínas,http://www.eluniversal.com.mx/nacion/susana-distancia-presenta-secretaria-de-salud-sus-4-aliadas-una-es-queer-y-otra-muxhe
