article_author,article_date,article_location,body,title,url
François Bergeron,"
François Bergeron •
						    	Rédacteur en chef •
						    	26 juin 2020						    	
						    	Intéressé à toute l'actualité et aux grands enjeux modernes						    	
						    ",,"Le Centre francophone du Grand Toronto (CFGT) opère depuis vendredi une ligne téléphonique de soutien en santé mentale pour les jeunes de moins de 25 ans aux prises avec divers problèmes, dont du racisme.",Racisme et santé mentale: une ligne téléphonique de soutien pour les jeunes,https://l-express.ca/racisme-et-sante-mentale-une-ligne-telephonique-de-soutien-pour-les-jeunes/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	25 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,"Le Conseil scolaire Viamonde est un conseil scolaire laïque de langue française qui accueille plus de 13 000 élèves dans ses 56 écoles élémentaires et secondaires reconnues pour leur caractère inclusif et accueillant. Il y a plus de 3000 personnes qui travaillent à Viamonde dont 1129 enseignantes et enseignants. Partenaire dans le développement de la communauté francophone du sud-ouest de l’Ontario, le territoire du Conseil s’étend d’ouest en est de Windsor à Trenton et du nord au sud de Penetanguishene à la région de Niagara en passant par Toronto et London.",Emplois chez Viamonde,https://l-express.ca/emplois-chez-viamonde-7/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	26 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,"Amikley Fontaine, le président de la Fondation Sylvenie Lindor, animera ce samedi 27 juin à 14h sur Facebook une conversation sur le thème «race-justice-égalité».","Une conversation sur la race, la justice et l’égalité",https://l-express.ca/une-conversation-sur-la-race-la-justice-et-legalite/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	24 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,"À force de faire nos promenades de confinement dans notre propre quartier, on commence à avoir un ras-le-bol de toujours voir la même chose. Toronto Best Urban Stroll, le dernier guide de marche de Nathalie Prézeau vient à la rescousse!",Redécouvrir Toronto… au grand air,https://l-express.ca/redecouvrir-toronto-au-grand-air/
Émilie Pelletier,"
Émilie Pelletier •
						    	Journaliste •
						    	23 juin 2020						    	
						    	Initiative de journalisme local – Le Droit						    	
						    ",,"Le gouvernement ontarien a décidé d’apporter des changements importants au curriculum de mathématiques pour les élèves du primaire. Dès septembre, ils apprendront entre autres à faire du codage, à établir un budget et… à gérer leur anxiété.",Les élèves apprendront à coder et à faire un budget,https://l-express.ca/les-eleves-apprendront-a-coder-et-a-faire-un-budget/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	26 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,Les étudiants du programme de français langue seconde (FLS) du campus Glendon de l’Université York et les nouveaux enseignants diplômés pourront participer à un apprentissage intégré au travail afin d’acquérir une formation et de l’expérience au Lycée français de Toronto.,Partenariat entre Glendon et le Lycée français de Toronto,https://l-express.ca/partenariat-entre-glendon-et-le-lycee-francais-de-toronto/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	25 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,"Me Marc Sauvé a été élu ce jeudi 25 juin à la présidence de l’Association des juristes d’expression française de l’Ontario (AJEFO). Il  succède pour deux ans à Me Nadia Effendi, suite à l’Assemblée générale annuelle par vidéoconférence.",Marc Sauvé élu président de l’AJEFO,https://l-express.ca/marc-sauve-elu-president-de-lajefo/
Nathalie Prézeau,"
Nathalie Prézeau •
						    	Chroniqueuse •
						    	26 juin 2020						    	
						    	Passionnée de sorties en famille ou entre amis						    	
						    ",,Cette nouvelle chronique propose des petits joyaux de Toronto tirés de la section «Toronto Urban Gems» du dernier guide de promenades de l’auteure locale Nathalie Prézeau: Toronto Best Urban Strolls. Chaque article offre deux bonnes raisons pour sortir de chez soi: un point de rencontre sympa et un petit coin caché à explorer non loin de là. Pour se procurer le guide: www.torontourbangems.com.,Mon K Pâtisserie et rivière urbaine,https://l-express.ca/mon-k-patisserie-et-riviere-urbaine/
Gabrielle Beaupré,"
Gabrielle Beaupré •
						    	Journaliste •
						    	26 juin 2020						    	
						    	Initiative de journalisme local – APF						    	
						    ",,"L’organisme torontois La Maison, étant l’unique centre d’hébergement francophone de Toronto offrant des services aux femmes et enfants victimes de violence conjugale, espère outiller les jeunes vulnérables grâce à son forum de sensibilisation virtuel qui aura lieu ce samedi 27 juin à 10h via la plateforme Zoom.",La Maison veut outiller les jeunes contre les comportements à risque,https://l-express.ca/la-maison-veut-outiller-les-jeunes-contre-les-comportements-a-risque/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	25 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,Votre journal L’Express de Toronto a remporté le prix d’excellence pour la qualité du français à «l’anti-gala» 2020 virtuel de l’Association de la presse francophone jeudi soir sur Facebook.,L’Express prix d’excellence pour la qualité du français,https://l-express.ca/lexpress-prix-dexcellence-pour-la-qualite-du-francais/
Benoit Legault,"
Benoit Legault •
						    	Chroniqueur •
						    	27 juin 2020						    	
						    	Passionné de voyages						    	
						    ",,"Alors que les touristes habituels boudent Toronto, ses habitants ont le loisir de redécouvrir la métropole canadienne en ce début de déconfinement. On est plus ouvert au tourisme local (le staycation) durant cette période, d’autant qu’on ne peut pas voyager librement à l’étranger.",Redécouvrir Toronto en ces temps encore incertains,https://l-express.ca/redecouvrir-toronto-en-ces-temps-encore-incertains/
l-express.ca,"
l-express.ca •
						    	Équipe de l-express.ca •
						    	24 juin 2020						    	
						    	Votre destination pour profiter au maximum de Toronto						    	
						    ",,"L’Assemblée de la francophonie de l’Ontario (AFO) a salué le renouvellement du Programme d’appui à la francophonie ontarienne (PAFO), annoncé le 24 juin par le gouvernement de l’Ontario.",Le PAFO pourra aider à la stabilisation post-pandémie,https://l-express.ca/le-pafo-pourra-aider-a-la-stabilisation-post-pandemie/
